epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.87046,1.56641,2.40843,1.06744,0.8193,0.64444,0.77313,0.44271,1.43491,1.8152,0.89677,0.0670865,0.000165394,0.000165394
2,16.1709,1.4848,1.35654,1.04282,0.77436,0.76267,0.81278,0.52056,1.21595,1.11116,0.8263,0.0339166,0.000328774,0.000328774
3,23.2558,1.38973,1.2476,1.01082,0.76468,0.73333,0.84653,0.55942,0.99845,1.0833,0.82588,0.000743306,0.000488853,0.000488853
4,30.3403,1.37779,1.08129,1.02915,0.79157,0.75959,0.85254,0.57676,0.98995,1.56546,0.82022,0.00048515,0.00048515,0.00048515
5,37.6346,1.37049,1.07382,1.02628,0.82347,0.72222,0.86529,0.52302,1.11473,1.65506,0.84153,0.0004802,0.0004802,0.0004802
6,44.8619,1.27064,0.96835,1.01366,0.73714,0.85556,0.88007,0.60621,0.89474,1.72271,0.81201,0.00047525,0.00047525,0.00047525
7,52.0423,1.3343,0.93046,1.02542,0.72501,0.83333,0.85075,0.59834,0.84721,0.93811,0.78016,0.0004703,0.0004703,0.0004703
8,59.3153,1.26599,0.95756,0.98218,0.78749,0.8235,0.90409,0.64561,0.86012,1.2604,0.80637,0.00046535,0.00046535,0.00046535
9,66.5134,1.16921,0.95271,1.00001,0.7982,0.73333,0.86835,0.61031,0.94947,0.81138,0.82445,0.0004604,0.0004604,0.0004604
10,73.7143,1.17181,0.90891,0.98839,0.78628,0.81761,0.88698,0.60325,0.93744,0.92149,0.81767,0.00045545,0.00045545,0.00045545
11,80.8975,1.18176,0.86357,0.98512,0.95461,0.70113,0.89124,0.65024,0.89997,0.83734,0.78978,0.0004505,0.0004505,0.0004505
12,88.0322,1.14044,0.86182,0.9824,0.84443,0.77778,0.90706,0.65859,0.93303,0.70602,0.82156,0.00044555,0.00044555,0.00044555
13,95.2512,1.12924,0.82302,0.93631,0.85012,0.88237,0.93974,0.67656,0.93516,0.91914,0.82743,0.0004406,0.0004406,0.0004406
14,102.436,1.15742,0.81901,0.99964,0.75421,0.8524,0.89994,0.64902,0.98533,0.77003,0.82638,0.00043565,0.00043565,0.00043565
15,109.508,1.11517,0.82894,0.97531,0.80683,0.83333,0.88625,0.62684,0.88752,0.75164,0.79761,0.0004307,0.0004307,0.0004307
16,116.528,1.09876,0.82538,0.94591,0.80354,0.85556,0.90705,0.67001,0.90067,1.20886,0.79456,0.00042575,0.00042575,0.00042575
17,123.612,1.16229,0.79154,0.95415,0.80552,0.87443,0.90766,0.64427,0.99537,0.79623,0.79565,0.0004208,0.0004208,0.0004208
18,130.903,1.16098,0.79966,0.95687,0.84516,0.78839,0.88519,0.62129,0.94963,0.83696,0.79621,0.00041585,0.00041585,0.00041585
19,138.039,1.08538,0.78235,0.95651,0.7554,0.93333,0.91435,0.65536,0.968,0.84425,0.81032,0.0004109,0.0004109,0.0004109
20,145.018,1.11992,0.81281,0.95164,0.7827,0.84046,0.8973,0.61479,1.03769,0.81592,0.80941,0.00040595,0.00040595,0.00040595
21,152.13,1.09671,0.86946,0.95938,0.82551,0.89364,0.9283,0.66852,0.94192,0.71189,0.77639,0.000401,0.000401,0.000401
22,159.266,1.03402,0.7495,0.91455,0.77528,0.85556,0.90437,0.64834,0.88357,0.66495,0.78458,0.00039605,0.00039605,0.00039605
23,166.295,1.03632,0.71488,0.94738,0.79477,0.90363,0.91438,0.65742,0.93258,0.67757,0.79871,0.0003911,0.0003911,0.0003911
